student_id,age,gender,academic_level,avg_daily_usage_hours,most_used_platform,affects_academic_performance,sleep_hours_per_night,mental_health_score,relationship_status,conflicts_over_social_media,addicted_score,country_name,country_name_std,country_code,gdp_2024,pop_2024,gdp_2023,pop_2023,gdp_latest,pop_latest,sleep_debt,usage_bucket,yoy_gdp_pct,yoy_pop_pct
18,19,Female,High School,5.0,Instagram,Yes,5.7,5,In Relationship,3,8,Norway,Norway,NOR,86809.7246897431,5572272.0,87497.3289297342,5519594.0,86809.7246897431,5572272.0,2.3,Heavy,-0.7858574066224169,0.9543817896751102
19,21,Male,Undergraduate,3.5,Facebook,No,6.7,7,Single,1,5,Denmark,Denmark,DNK,71851.7562131368,5976992.0,68453.8769281145,5946952.0,71851.7562131368,5976992.0,1.2999999999999998,Moderate,4.963749954718434,0.5051327133630809
20,20,Female,Undergraduate,4.7,Snapchat,Yes,5.9,6,Complicated,3,7,Netherlands,Netherlands,NLD,68218.7261019406,17994237.0,64572.0059558854,17877117.0,68218.7261019406,17994237.0,2.0999999999999996,Heavy,5.6475249484220535,0.6551391927456759
21,18,Male,High School,5.3,TikTok,Yes,5.5,5,Single,4,8,Belgium,Belgium,BEL,55954.6106261018,11876844.0,54690.0942734964,11787423.0,55954.6106261018,11876844.0,2.5,Heavy,2.312148789288529,0.7586136511771912
22,23,Female,Graduate,2.5,LinkedIn,No,7.3,8,In Relationship,1,4,Switzerland,Switzerland,CHE,103669.872008144,9034102.0,100631.802755125,8888093.0,103669.872008144,9034102.0,0.7000000000000002,Moderate,3.018995158430942,1.6427483375792762
23,19,Male,Undergraduate,4.9,Instagram,Yes,5.8,6,Complicated,3,7,Austria,Austria,AUT,56833.1960472053,9178482.0,56033.573792065,9131761.0,56833.1960472053,9178482.0,2.2,Heavy,1.4270413272364577,0.5116318747282151
24,20,Female,Undergraduate,5.7,TikTok,Yes,5.4,5,Single,4,8,Portugal,Portugal,PRT,28844.4979246799,10701636.0,27386.2920595024,10578174.0,28844.4979246799,10701636.0,2.5999999999999996,Heavy,5.324583050561374,1.1671390544341584
25,22,Male,Graduate,3.2,Facebook,No,6.9,7,In Relationship,2,5,Greece,Greece,GRC,24752.1068401681,10388805.0,23400.7278817691,10405588.0,24752.1068401681,10388805.0,1.0999999999999996,Moderate,5.774944118092259,-0.1612883385350256
26,19,Female,High School,6.1,Instagram,Yes,5.2,5,Complicated,4,9,Ireland,Ireland,IRL,107316.337306921,5380257.0,103887.800388081,5307600.0,107316.337306921,5380257.0,2.8,Extreme,3.3002305429823706,1.368923807370563
27,21,Male,Undergraduate,3.8,YouTube,No,6.6,7,Single,1,5,New Zealand,New Zealand,NZL,48747.0136853042,5338500.0,48654.904227478,5245000.0,48747.0136853042,5338500.0,1.4000000000000004,Moderate,0.18931176474123879,1.782650142993327
28,20,Female,Undergraduate,4.4,TikTok,Yes,5.9,6,In Relationship,3,7,Singapore,Singapore,SGP,90674.066632628,6036860.0,85412.230345235,5917648.0,90674.066632628,6036860.0,2.0999999999999996,Heavy,6.16051854181156,2.014516578208099
29,24,Male,Graduate,2.2,LinkedIn,No,7.4,8,Single,0,3,Malaysia,Malaysia,MYS,11867.2586435443,35557673.0,11379.0851923557,35126298.0,11867.2586435443,35557673.0,0.5999999999999996,Moderate,4.290094000847698,1.228068497283716
30,19,Female,High School,5.9,Instagram,Yes,5.3,5,Complicated,4,8,Thailand,Thailand,THA,7345.13569000377,71668011.0,7195.10130919449,71702435.0,7345.13569000377,71668011.0,2.7,Heavy,2.0852295799859557,-0.048009527152041626
31,21,Male,Undergraduate,3.6,Facebook,No,6.7,7,Single,1,5,Vietnam,Viet Nam,VNM,4717.29028732449,100987686.0,4323.35031982451,100352192.0,4717.29028732449,100987686.0,1.2999999999999998,Moderate,9.111914102671442,0.6332636959240512
32,20,Female,Undergraduate,4.8,Snapchat,Yes,5.7,6,In Relationship,3,7,Philippines,Philippines,PHL,3984.8315387656,115843670.0,3804.08274131097,114891199.0,3984.8315387656,115843670.0,2.3,Heavy,4.751442325156676,0.8290199843766971
33,18,Male,High School,5.4,TikTok,Yes,5.4,5,Complicated,4,8,Indonesia,Indonesia,IDN,4925.43048751861,283487931.0,4876.30774512252,281190067.0,4925.43048751861,283487931.0,2.5999999999999996,Heavy,1.0073757638702052,0.8171924508272193
34,23,Female,Graduate,2.6,LinkedIn,No,7.2,8,Single,1,4,Taiwan,Taiwan,,,,,,,,0.7999999999999998,Moderate,,
35,19,Male,Undergraduate,4.7,Instagram,Yes,5.8,6,In Relationship,3,7,Hong Kong,"Hong Kong SAR, China",HKG,54107.034521746,7524100.0,50565.4647717265,7536100.0,54107.034521746,7524100.0,2.2,Heavy,7.0039299866175675,-0.15923355581799603
36,20,Female,Undergraduate,5.6,TikTok,Yes,5.5,5,Complicated,4,8,Turkey,Turkiye,TUR,15473.2872636856,85518661.0,13105.6585004778,85325965.0,15473.2872636856,85518661.0,2.5,Heavy,18.065698592111797,0.2258351253337715
37,22,Male,Graduate,3.1,Facebook,No,6.8,7,Single,1,5,Israel,Israel,ISR,54176.6844383302,9974400.0,52003.7200729997,9849000.0,54176.6844383302,9974400.0,1.2000000000000002,Moderate,4.178478697832051,1.2732257081937253
38,19,Female,High School,6.2,Instagram,Yes,5.1,5,In Relationship,4,9,UAE,United Arab Emirates,ARE,49377.5643384379,10876981.0,49040.6947521035,10483751.0,49377.5643384379,10876981.0,2.9000000000000004,Extreme,0.6869184623856641,3.750852152058934
39,21,Male,Undergraduate,3.9,YouTube,No,6.5,7,Complicated,2,6,Egypt,"Egypt, Arab Rep.",EGY,3338.47371395895,116538258.0,3456.78968456253,114535772.0,3338.47371395895,116538258.0,1.5,Moderate,-3.422712441313977,1.7483498517825504
40,20,Female,Undergraduate,4.5,TikTok,Yes,5.8,6,Single,3,7,Morocco,Morocco,MAR,3993.38745117188,38081173.0,3771.4462890625,37712505.0,3993.38745117188,38081173.0,2.2,Heavy,5.884775894940553,0.977574944968519
41,24,Male,Graduate,2.3,LinkedIn,No,7.3,8,In Relationship,1,4,South Africa,South Africa,ZAF,6253.37158194543,64007187.0,6022.54254192335,63212384.0,6253.37158194543,64007187.0,0.7000000000000002,Moderate,3.8327506765666306,1.2573533059597943
42,19,Female,High School,5.8,Instagram,Yes,5.4,5,Complicated,4,8,Nigeria,Nigeria,NGA,806.945695055244,232679478.0,1596.63696129001,227882945.0,806.945695055244,232679478.0,2.5999999999999996,Heavy,-49.459663366225186,2.104823158222745
43,21,Male,Undergraduate,3.7,Facebook,No,6.6,7,Single,2,5,Kenya,Kenya,KEN,2206.1349785176,56432944.0,1952.30457929636,55339003.0,2206.1349785176,56432944.0,1.4000000000000004,Moderate,13.001577823104018,1.9767992567556736
44,20,Female,Undergraduate,4.6,Snapchat,Yes,5.7,6,In Relationship,3,7,Ghana,Ghana,GHA,2405.79466378083,34427414.0,2383.90410483418,33787914.0,2405.79466378083,34427414.0,2.3,Heavy,0.9182650804727968,1.8926886104895377
45,18,Male,High School,5.5,TikTok,Yes,5.3,5,Single,4,8,Argentina,Argentina,ARG,13858.2039802008,45696159.0,14187.4827252965,45538401.0,13858.2039802008,45696159.0,2.7,Heavy,-2.320910280359963,0.34642850107978096
46,23,Female,Graduate,2.7,LinkedIn,No,7.1,8,Complicated,1,4,Chile,Chile,CHL,16709.8893972307,19764771.0,17067.0364799154,19658835.0,16709.8893972307,19764771.0,0.9000000000000004,Moderate,-2.0926133433006537,0.5388722169955646
47,19,Male,Undergraduate,4.8,Instagram,Yes,5.9,6,In Relationship,3,7,Colombia,Colombia,COL,7913.98801464547,52886363.0,7000.83660501046,52321152.0,7913.98801464547,52886363.0,2.0999999999999996,Heavy,13.043461248352415,1.0802724680068205
48,20,Female,Undergraduate,5.5,TikTok,Yes,5.6,5,Single,4,8,Peru,Peru,PER,8452.37167047598,34217848.0,7887.54185920108,33845617.0,8452.37167047598,34217848.0,2.4000000000000004,Heavy,7.161037257964063,1.0997908532735567
49,22,Male,Graduate,3.3,Facebook,No,6.7,7,In Relationship,2,5,Venezuela,"Venezuela, RB",VEN,,28405543.0,,28300854.0,,28405543.0,1.2999999999999998,Moderate,,0.36991463225809373
50,19,Female,High School,6.3,Instagram,Yes,5.2,5,Complicated,4,9,Ecuador,Ecuador,ECU,6874.705739766,18135478.0,6737.84748379638,17980083.0,6874.705739766,18135478.0,2.8,Extreme,2.0311866111357584,0.8642618613050896
51,21,Male,Undergraduate,3.8,YouTube,No,6.4,7,Single,2,6,Uruguay,Uruguay,URY,23906.5133029408,3386588.0,23019.4221560046,3388081.0,23906.5133029408,3386588.0,1.5999999999999996,Moderate,3.853663836234929,-0.04406624280824455
52,20,Female,Undergraduate,4.7,TikTok,Yes,5.8,6,In Relationship,3,7,Paraguay,Paraguay,PRY,6416.09709002917,6929153.0,6299.99026533643,6844146.0,6416.09709002917,6929153.0,2.2,Heavy,1.842968319039782,1.2420395473737702
53,24,Male,Graduate,2.4,LinkedIn,No,7.2,8,Complicated,1,4,Bolivia,Bolivia,BOL,4001.21133990795,12413315.0,3686.27996442176,12244159.0,4001.21133990795,12413315.0,0.7999999999999998,Moderate,8.54333850184358,1.3815240393399006
54,19,Female,High School,5.7,Instagram,Yes,5.5,5,Single,4,8,Costa Rica,Costa Rica,CRI,18587.1532203614,5129910.0,16942.0268119304,5105525.0,18587.1532203614,5129910.0,2.5,Heavy,9.710328207440455,0.4776198334157604
55,21,Male,Undergraduate,3.6,Facebook,No,6.5,7,In Relationship,2,5,Panama,Panama,PAN,19102.8521936399,4515577.0,18686.4050961265,4458759.0,19102.8521936399,4515577.0,1.5,Moderate,2.228610026225579,1.2743007639569666
56,20,Female,Undergraduate,4.9,Snapchat,Yes,5.6,6,Complicated,3,7,Jamaica,Jamaica,JAM,7019.74634780454,2839175.0,6839.72502408181,2839786.0,7019.74634780454,2839175.0,2.4000000000000004,Heavy,2.6319965070071896,-0.021515705760927054
57,18,Male,High School,5.6,TikTok,Yes,5.2,5,Single,4,8,Trinidad,Trinidad and Tobago,TTO,19314.7163432664,1368333.0,18639.259241294,1367510.0,19314.7163432664,1368333.0,2.8,Heavy,3.623840911424045,0.060182375265994396
58,23,Female,Graduate,2.8,LinkedIn,No,7.0,8,In Relationship,1,4,Bahamas,"Bahamas, The",BHS,39455.4466548546,401283.0,38231.774484278,399440.0,39455.4466548546,401283.0,1.0,Moderate,3.200667996929635,0.46139595433607056
59,19,Male,Undergraduate,4.6,Instagram,Yes,5.9,6,Complicated,3,7,Iceland,Iceland,ISL,82703.8579937471,404610.0,79960.0961535662,393349.0,82703.8579937471,404610.0,2.0999999999999996,Heavy,3.431413882884026,2.8628520728411666
60,20,Female,Undergraduate,5.4,TikTok,Yes,5.7,5,Single,4,8,Finland,Finland,FIN,53188.6186245158,5637214.0,52821.5114340717,5583911.0,53188.6186245158,5637214.0,2.3,Heavy,0.6949956191660738,0.9545818334138922
61,22,Male,Graduate,3.1,Facebook,No,7.1,7,Single,1,5,Poland,Poland,POL,25022.6716445953,36554707.0,22145.2643088909,36687353.0,25022.6716445953,36554707.0,0.9000000000000004,Moderate,12.99333029206238,-0.3615578371107886
62,19,Female,Undergraduate,5.6,Instagram,Yes,5.6,5,In Relationship,3,8,Romania,Romania,ROU,20072.4079244042,19069340.0,18404.2730871704,19059479.0,20072.4079244042,19069340.0,2.4000000000000004,Heavy,9.063845278391652,0.05173803544157739
63,20,Male,Undergraduate,4.2,TikTok,Yes,6.0,6,Complicated,3,7,Hungary,Hungary,HUN,23310.7512733957,9562314.0,22312.1790289763,9592186.0,23310.7512733957,9562314.0,2.0,Heavy,4.4754581931355855,-0.31142014969267695
64,18,Female,High School,6.1,Snapchat,Yes,5.2,4,Single,4,9,Czech Republic,Czechia,CZE,31706.6234229743,10882164.0,31591.0568216357,10864042.0,31706.6234229743,10882164.0,2.8,Extreme,0.36582062446056574,0.16680716072342136
65,23,Male,Graduate,2.3,LinkedIn,No,7.4,8,In Relationship,1,3,Slovakia,Slovak Republic,SVK,26147.9028430133,5422069.0,24673.5482979144,5426740.0,26147.9028430133,5422069.0,0.5999999999999996,Moderate,5.9754459605776455,-0.08607377541581133
66,21,Female,Undergraduate,4.8,Instagram,Yes,5.8,6,Single,3,7,Croatia,Croatia,HRV,23931.4528382746,3866300.0,21865.4562838641,3859686.0,23931.4528382746,3866300.0,2.2,Heavy,9.448677985902032,0.17136108999540378
67,20,Male,Undergraduate,3.9,YouTube,No,6.5,7,Complicated,2,6,Serbia,Serbia,SRB,13523.7246826854,6587202.0,12281.5058488303,6623183.0,13523.7246826854,6587202.0,1.5,Moderate,10.11454824143906,-0.5432584302743861
68,19,Female,High School,5.7,TikTok,Yes,5.4,5,In Relationship,4,8,Slovenia,Slovenia,SVN,34089.3527652778,2126324.0,32610.110922729,2120461.0,34089.3527652778,2126324.0,2.5999999999999996,Heavy,4.536144774404245,0.27649647883172573
69,22,Male,Graduate,2.8,LinkedIn,No,7.2,8,Single,1,4,Bulgaria,Bulgaria,BGR,17412.4115085691,6444366.0,15883.8618545581,6446596.0,17412.4115085691,6444366.0,0.7999999999999998,Moderate,9.623287258522478,-0.03459189935277471
70,20,Female,Undergraduate,4.5,Instagram,Yes,5.9,6,Complicated,3,7,Estonia,Estonia,EST,31170.0915091887,1371986.0,30133.304450454,1370286.0,31170.0915091887,1371986.0,2.0999999999999996,Heavy,3.440668315814524,0.12406169223067301
71,18,Male,High School,5.4,Snapchat,Yes,5.5,5,Single,4,8,Latvia,Latvia,LVA,23367.5986788961,1862441.0,22675.5786295407,1877445.0,23367.5986788961,1862441.0,2.5,Heavy,3.051829726866896,-0.7991712140701858
72,21,Female,Graduate,3.2,Facebook,No,6.8,7,In Relationship,2,5,Lithuania,Lithuania,LTU,29386.2878350187,2888055.0,27786.0057829276,2871585.0,29386.2878350187,2888055.0,1.2000000000000002,Moderate,5.759309432931701,0.5735508438719383
73,19,Male,Undergraduate,4.9,TikTok,Yes,5.7,6,Complicated,3,7,Ukraine,Ukraine,UKR,5389.47314453125,37860221.0,5139.59814453125,37732836.0,5389.47314453125,37860221.0,2.3,Heavy,4.861761425178301,0.3375972057864932
74,20,Female,Undergraduate,5.8,Instagram,Yes,5.3,5,Single,4,8,Moldova,Moldova,MDA,7617.51613089815,2389275.0,6799.58594644576,2457783.0,7617.51613089815,2389275.0,2.7,Heavy,12.029117521191617,-2.7873900991259197
75,23,Male,Graduate,2.5,LinkedIn,No,7.3,8,In Relationship,1,4,Belarus,Belarus,BLR,8316.64776291533,9133712.0,7896.75388295584,9178298.0,8316.64776291533,9133712.0,0.7000000000000002,Moderate,5.317297286746892,-0.4857763389247113
76,21,Female,Undergraduate,4.6,Snapchat,Yes,5.8,6,Single,3,7,Kazakhstan,Kazakhstan,KAZ,14005.3487362345,20592571.0,12879.4275257974,20330104.0,14005.3487362345,20592571.0,2.2,Heavy,8.742012858738386,1.2910263518573246
77,19,Male,High School,5.5,TikTok,Yes,5.4,5,Complicated,4,8,Uzbekistan,Uzbekistan,UZB,3161.70010632875,36361859.0,2878.96879292451,35652307.0,3161.70010632875,36361859.0,2.5999999999999996,Heavy,9.820575829063987,1.9901993999995569
78,22,Female,Graduate,2.9,Facebook,No,7.0,7,In Relationship,2,5,Kyrgyzstan,Kyrgyz Republic,KGZ,2419.26553574523,7224614.0,2138.22210211478,7099750.0,2419.26553574523,7224614.0,1.0,Moderate,13.143790504853914,1.7587098137258352
79,20,Male,Undergraduate,4.7,YouTube,Yes,5.9,6,Single,3,7,Tajikistan,Tajikistan,TJK,1341.20229027672,10590927.0,1178.47990060249,10389799.0,1341.20229027672,10590927.0,2.0999999999999996,Heavy,13.807820531435395,1.9358218575739532
80,18,Female,High School,5.9,Instagram,Yes,5.2,5,Complicated,4,9,Armenia,Armenia,ARM,8500.60522486719,3033500.0,8125.27395754003,2964300.0,8500.60522486719,3033500.0,2.8,Heavy,4.619305998647126,2.3344465809803325
81,21,Male,Graduate,3.0,LinkedIn,No,7.1,8,In Relationship,1,4,Georgia,Georgia,GEO,9193.66366361489,3673850.0,8283.66960652261,3715483.0,9193.66366361489,3673850.0,0.9000000000000004,Moderate,10.985397780420241,-1.1205272638846686
82,19,Female,Undergraduate,4.8,TikTok,Yes,5.7,6,Single,3,7,Azerbaijan,Azerbaijan,AZE,7283.83562954872,10202850.0,7133.02838048328,10153958.0,7283.83562954872,10202850.0,2.3,Heavy,2.1142106973535246,0.4815068173415726
83,20,Male,Undergraduate,3.8,Facebook,No,6.6,7,Complicated,2,6,Cyprus,Cyprus,CYP,38654.16796875,1358282.0,36551.41796875,1344976.0,38654.16796875,1358282.0,1.4000000000000004,Moderate,5.752854791564495,0.989311333436433
84,22,Female,Graduate,2.7,LinkedIn,No,7.2,8,In Relationship,1,4,Malta,Malta,MLT,42347.3073860173,574346.0,40182.4313854634,552747.0,42347.3073860173,574346.0,0.7999999999999998,Moderate,5.387618234911183,3.907574351375946
85,18,Male,High School,5.6,Snapchat,Yes,5.3,5,Single,4,8,Luxembourg,Luxembourg,LUX,137516.587324367,677717.0,131407.681364513,666430.0,137516.587324367,677717.0,2.7,Heavy,4.648819533546473,1.6936512461923983
86,21,Female,Undergraduate,4.5,Instagram,Yes,5.8,6,Complicated,3,7,Monaco,Monaco,MCO,,38631.0,256580.515122745,38956.0,256580.515122745,38631.0,2.2,Heavy,,-0.8342745661772255
87,19,Male,High School,5.3,TikTok,Yes,5.5,5,In Relationship,4,8,Andorra,Andorra,AND,49303.6733899464,81938.0,46812.4484486309,80856.0,49303.6733899464,81938.0,2.5,Heavy,5.321714680335974,1.3381814583951717
88,23,Female,Graduate,2.6,LinkedIn,No,7.3,8,Single,1,4,San Marino,San Marino,SMR,,33977.0,,33860.0,,33977.0,0.7000000000000002,Moderate,,0.3455404607206143
89,20,Male,Undergraduate,4.4,YouTube,Yes,6.0,6,Complicated,3,7,Vatican City,Vatican City,,,,,,,,2.0,Heavy,,
90,18,Female,High School,5.8,Instagram,Yes,5.2,5,Single,4,9,Liechtenstein,Liechtenstein,LIE,,40197.0,207973.617746758,39850.0,207973.617746758,40197.0,2.8,Heavy,,0.8707653701380176
91,22,Male,Graduate,2.9,Facebook,No,7.0,7,In Relationship,2,5,Montenegro,Montenegro,MNE,12935.4522712126,623831.0,12077.3747094687,623529.0,12935.4522712126,623831.0,1.0,Moderate,7.1048351349996945,0.048433994248864125
92,19,Female,Undergraduate,4.7,TikTok,Yes,5.8,6,Complicated,3,7,Albania,Albania,ALB,10011.6279856667,2714617.0,8575.17134637222,2745972.0,10011.6279856667,2714617.0,2.2,Heavy,16.751346197906376,-1.1418543233507115
93,21,Male,Undergraduate,3.7,Snapchat,No,6.5,7,Single,2,6,North Macedonia,North Macedonia,MKD,9310.02790015256,1792179.0,8624.28400232117,1827816.0,9310.02790015256,1792179.0,1.5,Moderate,7.951313960055419,-1.9497039089273756
94,20,Female,High School,5.5,Instagram,Yes,5.4,5,In Relationship,4,8,Kosovo,Kosovo,XKX,7299.43498083118,1527324.0,6221.20365212094,1682668.0,7299.43498083118,1527324.0,2.5999999999999996,Heavy,17.331554937003997,-9.232005362911757
95,23,Male,Graduate,2.4,LinkedIn,No,7.4,8,Complicated,1,4,Bosnia,Bosnia and Herzegovina,BIH,8957.37294188215,3164253.0,8663.02322987879,3185073.0,8957.37294188215,3164253.0,0.5999999999999996,Moderate,3.3977712421241812,-0.6536741858035907
96,19,Female,Undergraduate,4.9,TikTok,Yes,5.7,6,Single,3,7,Qatar,Qatar,QAT,76275.9076782833,2857822.0,80195.8746508549,2656032.0,76275.9076782833,2857822.0,2.3,Heavy,-4.8879907970799925,7.5974235250177715
97,18,Male,High School,5.7,Snapchat,Yes,5.3,5,In Relationship,4,8,Kuwait,Kuwait,KWT,32213.8622292316,4973861.0,34075.8490439847,4853420.0,32213.8622292316,4973861.0,2.7,Heavy,-5.464241880957012,2.4815696972444172
98,22,Female,Graduate,2.8,LinkedIn,No,7.1,8,Complicated,1,4,Bahrain,Bahrain,BHR,30048.2177718844,1588670.0,29290.1284215098,1577059.0,30048.2177718844,1588670.0,0.9000000000000004,Moderate,2.5882076700554264,0.7362438564441787
99,20,Male,Undergraduate,4.6,Instagram,Yes,5.9,6,Single,3,7,Oman,Oman,OMN,20248.4168124608,5281538.0,20972.4830886637,5049269.0,20248.4168124608,5281538.0,2.0999999999999996,Heavy,-3.452458505470341,4.600052007528219
100,21,Female,Undergraduate,5.4,TikTok,Yes,5.5,5,In Relationship,4,8,Jordan,Jordan,JOR,4618.09592498567,11552876.0,4466.08314208575,11439213.0,4618.09592498567,11552876.0,2.5,Heavy,3.4037159198278233,0.9936260475261716
101,19,Male,High School,5.8,YouTube,Yes,5.2,5,Complicated,4,9,Lebanon,Lebanon,LBN,,5805962.0,3477.72489842684,5773493.0,3477.72489842684,5805962.0,2.8,Heavy,,0.5623805207696623
102,23,Female,Graduate,2.5,LinkedIn,No,7.3,8,Single,1,4,Iraq,Iraq,IRQ,6073.61032342708,46042015.0,5965.31835077761,45074049.0,6073.61032342708,46042015.0,0.7000000000000002,Moderate,1.815359487651715,2.1475017698099412
103,20,Male,Undergraduate,4.7,Facebook,Yes,5.8,6,In Relationship,3,7,Yemen,"Yemen, Rep.",YEM,,40583164.0,,39390799.0,,40583164.0,2.2,Heavy,,3.0270139988782656
104,18,Female,High School,5.6,Instagram,Yes,5.4,5,Single,4,8,Syria,Syrian Arab Republic,SYR,,24672760.0,847.372723418531,23594623.0,847.372723418531,24672760.0,2.5999999999999996,Heavy,,4.569418210242223
105,22,Male,Graduate,2.9,LinkedIn,No,7.0,7,Complicated,2,5,Afghanistan,Afghanistan,AFG,,42647492.0,413.757894705303,41454761.0,413.757894705303,42647492.0,1.0,Moderate,,2.877187013573664
106,19,Female,Undergraduate,4.8,TikTok,Yes,5.7,6,In Relationship,3,7,Pakistan,Pakistan,PAK,1484.74985864775,251269164.0,1365.16927410976,247504495.0,1484.74985864775,251269164.0,2.3,Heavy,8.759396128071348,1.5210507590983346
107,21,Male,Undergraduate,3.8,YouTube,No,6.6,7,Single,2,6,Nepal,Nepal,NPL,1447.31004458428,29651054.0,1382.33055769304,29694614.0,1447.31004458428,29651054.0,1.4000000000000004,Moderate,4.700719848057449,-0.14669326902178287
108,20,Female,High School,5.5,Snapchat,Yes,5.5,5,Complicated,4,8,Bhutan,Bhutan,BTN,,791524.0,3839.4093039286,786385.0,3839.4093039286,791524.0,2.5,Heavy,,0.6534966969105463
109,23,Male,Graduate,2.6,LinkedIn,No,7.2,8,In Relationship,1,4,Sri Lanka,Sri Lanka,LKA,4515.56787322732,21916000.0,3798.89016573011,22037000.0,4515.56787322732,21916000.0,0.7999999999999998,Moderate,18.865449545300862,-0.549076553069837
110,19,Female,Undergraduate,4.9,Instagram,Yes,5.8,6,Single,3,7,Maldives,Maldives,MDV,13215.5353637008,527799.0,12530.3602359683,525994.0,13215.5353637008,527799.0,2.2,Heavy,5.468119948903866,0.3431598079065541
111,20,Male,Undergraduate,6.1,Instagram,Yes,6.2,5,Single,4,8,Bangladesh,Bangladesh,BGD,2593.41607390407,173562364.0,2551.01773827307,171466990.0,2593.41607390407,173562364.0,1.7999999999999998,Extreme,1.6620164961966073,1.222027633423786
